trial_id,listener_id,a_or_b_preferred,a_defects_observed,b_defects_observed,free_text_notes
l-020-t1,L1,A,click_or_discontinuity,click_or_discontinuity,B also had tonal_distortion at a couple seams.
l-020-t2,L1,B,click_or_discontinuity,audible_seam,A had several clicks at seams and minor tonal_distortions at 2. B had very minor pops at the seam compated to the rest of the clicks noted.
l-021-t1,L1,A,click_or_discontinuity,tonal_distortion,"B had clicks and tonal distortion, A clicks were very minor."
l-021-t2,L1,A,click_or_discontinuity,tonal_distortion,"B had clicks and tonal distortion, A clicks were very minor and tapered off, last half had no clicks.."
m-020-t1,L1,B,click_or_discontinuity,click_or_discontinuity,B click was minor compared to A.
m-020-t2,L1,B,click_or_discontinuity,none,
m-021-t1,L1,A,click_or_discontinuity,click_or_discontinuity,A click was less notable than B
m-021-t2,L1,equivalent,none,none,
s-020-t1,L1,equivalent,none,none,
s-020-t2,L1,A,none,click_or_discontinuity,
s-021-t1,L1,equivalent,none,none,
s-021-t2,L1,equivalent,none,none,
s-022-t1,L1,equivalent,none,none,
s-022-t2,L1,equivalent,none,none,
